Latitude,Longitude,Elevation
51.20257000,-115.597370,1691.0
51.20259000,-115.597340,1691.0
51.20262000,-115.597320,1692.0
51.20265000,-115.597300,1692.0
51.20268000,-115.597290,1693.0
51.20271000,-115.597300,1693.0
51.20274000,-115.597310,1694.0
51.20278000,-115.597340,1694.0
51.20280000,-115.597360,1694.0
51.20283000,-115.597380,1693.0
51.20285000,-115.597400,1693.0
51.20292000,-115.597470,1692.0
51.20295000,-115.597490,1692.0
51.20298000,-115.597510,1692.0
51.20300000,-115.597550,1692.0
51.20304000,-115.597580,1691.0
51.20307000,-115.597620,1691.0
51.20310000,-115.597640,1691.0
51.20313000,-115.597670,1690.0
51.20315000,-115.597700,1690.0
51.20317000,-115.597730,1690.0
51.20320000,-115.597750,1689.0
51.20323000,-115.597780,1689.0
51.20324000,-115.597820,1689.0
51.20323000,-115.597890,1689.0
51.20322000,-115.597940,1689.0
51.20322000,-115.598000,1689.0
51.20324000,-115.598040,1689.0
51.20326000,-115.598070,1689.0
51.20328000,-115.598100,1689.0
51.20330000,-115.598150,1688.0
51.20333000,-115.598190,1688.0
51.20335000,-115.598210,1688.0
51.20338000,-115.598230,1688.0
51.20341000,-115.598260,1688.0
51.20345000,-115.598280,1689.0
51.20347000,-115.598290,1689.0
51.20350000,-115.598330,1689.0
51.20353000,-115.598360,1689.0
51.20356000,-115.598380,1689.0
51.20359000,-115.598410,1689.0
51.20362000,-115.598430,1689.0
51.20365000,-115.598480,1688.0
51.20367000,-115.598520,1688.0
51.20369000,-115.598570,1688.0
51.20372000,-115.598610,1688.0
51.20375000,-115.598630,1687.0
51.20378000,-115.598660,1687.0
51.20380000,-115.598680,1687.0
51.20383000,-115.598700,1687.0
51.20386000,-115.598710,1687.0
51.20390000,-115.598720,1687.0
51.20393000,-115.598720,1686.0
51.20397000,-115.598710,1686.0
51.20400000,-115.598710,1685.0
51.20403000,-115.598700,1685.0
51.20406000,-115.598690,1685.0
51.20409000,-115.598680,1684.0
51.20412000,-115.598670,1684.0
51.20415000,-115.598650,1684.0
51.20418000,-115.598620,1684.0
51.20421000,-115.598600,1684.0
51.20426000,-115.598600,1684.0
51.20430000,-115.598620,1684.0
51.20434000,-115.598630,1684.0
51.20437000,-115.598640,1684.0
51.20441000,-115.598660,1684.0
51.20445000,-115.598690,1684.0
51.20447000,-115.598710,1684.0
51.20449000,-115.598750,1685.0
51.20452000,-115.598770,1685.0
51.20455000,-115.598800,1685.0
51.20458000,-115.598840,1685.0
51.20461000,-115.598870,1685.0
51.20463000,-115.598900,1685.0
51.20466000,-115.598950,1685.0
51.20470000,-115.598980,1685.0
51.20472000,-115.599010,1685.0
51.20475000,-115.599030,1685.0
51.20477000,-115.599060,1685.0
51.20480000,-115.599090,1685.0
51.20483000,-115.599120,1686.0
51.20487000,-115.599160,1686.0
51.20489000,-115.599180,1686.0
51.20492000,-115.599200,1686.0
51.20496000,-115.599220,1686.0
51.20499000,-115.599240,1686.0
51.20502000,-115.599250,1686.0
51.20505000,-115.599280,1686.0
51.20508000,-115.599310,1686.0
51.20510000,-115.599330,1686.0
51.20514000,-115.599360,1685.0
51.20516000,-115.599380,1685.0
51.20519000,-115.599410,1685.0
51.20521000,-115.599430,1685.0
51.20524000,-115.599470,1685.0
51.20527000,-115.599500,1685.0
51.20530000,-115.599530,1685.0
51.20532000,-115.599560,1685.0
51.20535000,-115.599590,1685.0
51.20538000,-115.599620,1685.0
51.20541000,-115.599640,1685.0
51.20544000,-115.599670,1685.0
51.20547000,-115.599700,1685.0
51.20550000,-115.599740,1685.0
51.20553000,-115.599760,1685.0
51.20556000,-115.599770,1684.0
51.20559000,-115.599810,1684.0
51.20562000,-115.599830,1684.0
51.20565000,-115.599860,1684.0
